iter	Passed	Remaining
0	3	376
1	6	327
2	8	289
3	11	270
4	13	261
5	16	255
6	19	253
7	22	253
8	25	260
9	29	264
10	32	263
11	36	264
12	39	264
13	42	262
14	45	260
15	48	252
16	51	253
17	55	252
18	58	250
19	62	249
20	65	247
21	69	246
22	73	245
23	76	241
24	80	240
25	82	234
26	85	231
27	88	228
28	92	225
29	94	221
30	98	218
31	101	215
32	104	212
33	107	208
34	110	205
35	113	201
36	115	197
37	118	193
38	121	190
39	124	187
40	126	182
41	129	179
42	133	176
43	136	174
44	140	171
45	143	168
46	147	166
47	150	163
48	152	159
49	155	155
50	156	150
51	158	146
52	161	142
53	164	139
54	167	136
55	169	133
56	172	129
57	174	126
58	177	123
59	179	119
60	182	116
61	185	113
62	187	110
63	190	106
64	192	103
65	194	100
66	198	97
67	200	94
68	203	91
69	205	88
70	208	85
71	210	81
72	213	79
73	216	76
74	219	73
75	221	69
76	223	66
77	226	63
78	229	60
79	231	57
80	234	54
81	236	51
82	239	48
83	241	46
84	244	43
85	246	40
86	249	37
87	251	34
88	254	31
89	257	28
90	259	25
91	262	22
92	264	19
93	266	17
94	268	14
95	271	11
96	273	8
97	276	5
98	279	2
99	282	0
